objects,flights,depth,unique_assets,threaded,removals,lifecycle_ms,retirement_ms,compacted_elements,compacted_owner_bytes
10000,1,1,false,false,1,0.083700,0.000100,10000,79992
10000,1,1,false,false,100,0.061900,0.000000,9999,79192
10000,1,1,false,false,5000,0.585800,0.000200,9899,39192
10000,1,1,false,true,1,0.047000,0.000200,10000,79992
10000,1,1,false,true,100,0.039700,0.000100,9999,79192
10000,1,1,false,true,5000,0.462400,0.000100,9899,39192
10000,1,1,true,false,1,0.045600,0.002300,10000,79992
10000,1,1,true,false,100,0.050000,0.017900,9999,79192
10000,1,1,true,false,5000,0.854200,0.527300,9899,39192
10000,1,1,true,true,1,0.050600,0.001500,10000,79992
10000,1,1,true,true,100,0.052900,0.017400,9999,79192
10000,1,1,true,true,5000,0.805000,0.547000,9899,39192
10000,1,8,false,false,1,0.050200,0.000200,10000,79992
10000,1,8,false,false,100,0.039500,0.000000,9999,79192
10000,1,8,false,false,5000,0.522100,0.000100,9899,39192
10000,1,8,false,true,1,0.047300,0.000200,10000,79992
10000,1,8,false,true,100,0.039800,0.000000,9999,79192
10000,1,8,false,true,5000,0.529000,0.000100,9899,39192
10000,1,8,true,false,1,0.044700,0.015100,10000,79992
10000,1,8,true,false,100,0.078900,0.017600,9999,79192
10000,1,8,true,false,5000,0.786800,0.539200,9899,39192
10000,1,8,true,true,1,0.046800,0.002100,10000,79992
10000,1,8,true,true,100,0.074800,0.020400,9999,79192
10000,1,8,true,true,5000,0.833300,0.530300,9899,39192
10000,2,1,false,false,1,0.041900,0.000100,10000,79992
10000,2,1,false,false,100,0.040300,0.000000,9999,79192
10000,2,1,false,false,5000,0.455100,0.000100,9899,39192
10000,2,1,false,true,1,0.070300,0.000200,10000,79992
10000,2,1,false,true,100,0.060700,0.000000,9999,79192
10000,2,1,false,true,5000,0.575400,0.000200,9899,39192
10000,2,1,true,false,1,0.037200,0.001600,10000,79992
10000,2,1,true,false,100,0.054300,0.018200,9999,79192
10000,2,1,true,false,5000,0.749900,0.594300,9899,39192
10000,2,1,true,true,1,0.040500,0.001600,10000,79992
10000,2,1,true,true,100,0.050600,0.019400,9999,79192
10000,2,1,true,true,5000,0.759000,0.589600,9899,39192
10000,2,8,false,false,1,0.040100,0.000100,10000,79992
10000,2,8,false,false,100,0.042500,0.000100,9999,79192
10000,2,8,false,false,5000,0.503900,0.000100,9899,39192
10000,2,8,false,true,1,0.045300,0.000200,10000,79992
10000,2,8,false,true,100,0.040200,0.000100,9999,79192
10000,2,8,false,true,5000,0.519100,0.000300,9899,39192
10000,2,8,true,false,1,0.048000,0.002200,10000,79992
10000,2,8,true,false,100,0.052700,0.033500,9999,79192
10000,2,8,true,false,5000,0.830000,0.527900,9899,39192
10000,2,8,true,true,1,0.048000,0.001800,10000,79992
10000,2,8,true,true,100,0.055000,0.018300,9999,79192
10000,2,8,true,true,5000,0.806200,0.544900,9899,39192
10000,3,1,false,false,1,0.037500,0.000100,10000,79992
10000,3,1,false,false,100,0.036400,0.000000,9999,79192
10000,3,1,false,false,5000,0.508900,0.000100,9899,39192
10000,3,1,false,true,1,0.045000,0.000200,10000,79992
10000,3,1,false,true,100,0.038700,0.000100,9999,79192
10000,3,1,false,true,5000,0.470600,0.000100,9899,39192
10000,3,1,true,false,1,0.136600,0.001900,10000,79992
10000,3,1,true,false,100,0.068000,0.018400,9999,79192
10000,3,1,true,false,5000,0.785400,0.529700,9899,39192
10000,3,1,true,true,1,0.044600,0.001600,10000,79992
10000,3,1,true,true,100,0.051400,0.019000,9999,79192
10000,3,1,true,true,5000,0.804800,0.547500,9899,39192
10000,3,8,false,false,1,0.038800,0.000200,10000,79992
10000,3,8,false,false,100,0.063300,0.000300,9999,79192
10000,3,8,false,false,5000,0.604700,0.000400,9899,39192
10000,3,8,false,true,1,0.043300,0.000200,10000,79992
10000,3,8,false,true,100,0.045600,0.000000,9999,79192
10000,3,8,false,true,5000,0.528200,0.000100,9899,39192
10000,3,8,true,false,1,0.050700,0.001600,10000,79992
10000,3,8,true,false,100,0.054200,0.017900,9999,79192
10000,3,8,true,false,5000,0.801100,0.534900,9899,39192
10000,3,8,true,true,1,0.048200,0.001600,10000,79992
10000,3,8,true,true,100,0.055700,0.018500,9999,79192
10000,3,8,true,true,5000,0.821200,0.552000,9899,39192
100000,1,1,false,false,1,0.639400,0.000100,100000,799992
100000,1,1,false,false,1000,0.893100,0.000100,99999,791992
100000,1,1,false,false,50000,6.939300,0.000300,98999,391992
100000,1,1,false,true,1,0.659500,0.000200,100000,799992
100000,1,1,false,true,1000,0.879200,0.000100,99999,791992
100000,1,1,false,true,50000,6.930900,0.000400,98999,391992
100000,1,1,true,false,1,0.665900,0.002300,100000,799992
100000,1,1,true,false,1000,0.992800,0.190400,99999,791992
100000,1,1,true,false,50000,12.636800,7.620200,98999,391992
100000,1,1,true,true,1,0.650200,0.002300,100000,799992
100000,1,1,true,true,1000,0.877200,0.185100,99999,791992
100000,1,1,true,true,50000,11.713100,6.996800,98999,391992
100000,1,8,false,false,1,0.720400,0.000200,100000,799992
100000,1,8,false,false,1000,0.741000,0.000100,99999,791992
100000,1,8,false,false,50000,7.261300,0.000400,98999,391992
100000,1,8,false,true,1,0.633300,0.000200,100000,799992
100000,1,8,false,true,1000,0.740100,0.000100,99999,791992
100000,1,8,false,true,50000,7.630400,0.000400,98999,391992
100000,1,8,true,false,1,0.631000,0.001700,100000,799992
100000,1,8,true,false,1000,0.958200,0.182300,99999,791992
100000,1,8,true,false,50000,12.438300,7.015500,98999,391992
100000,1,8,true,true,1,0.651400,0.001800,100000,799992
100000,1,8,true,true,1000,0.875700,0.234800,99999,791992
100000,1,8,true,true,50000,12.191700,6.638800,98999,391992
100000,2,1,false,false,1,0.722300,0.000100,100000,799992
100000,2,1,false,false,1000,0.738800,0.000100,99999,791992
100000,2,1,false,false,50000,7.049600,0.001000,98999,391992
100000,2,1,false,true,1,0.641300,0.000200,100000,799992
100000,2,1,false,true,1000,0.727200,0.000100,99999,791992
100000,2,1,false,true,50000,7.405500,0.000500,98999,391992
100000,2,1,true,false,1,0.634600,0.001700,100000,799992
100000,2,1,true,false,1000,0.941600,0.187800,99999,791992
100000,2,1,true,false,50000,11.731900,6.964500,98999,391992
100000,2,1,true,true,1,0.652000,0.002400,100000,799992
100000,2,1,true,true,1000,0.893600,0.188400,99999,791992
100000,2,1,true,true,50000,12.275700,7.258100,98999,391992
100000,2,8,false,false,1,0.625600,0.000100,100000,799992
