objects,flights,depth,unique_assets,threaded,changes,views,tick_median_ms,tick_p95_ms,lifecycle_median_ms,lifecycle_p95_ms,collect_seal_median_ms,collect_seal_p95_ms,apply_median_ms,apply_p95_ms,view_median_ms,view_p95_ms,retirement_median_ms,retirement_p95_ms,allocations_7_samples,allocated_bytes_7_samples,gathers_warmup_and_7_samples,matrix_evaluations_warmup_and_7_samples
10000,1,1,false,false,0,1,0.076200,0.149300,0.000100,0.000200,0.000100,0.000100,0.000100,0.000500,0.054700,0.060600,0.000100,0.000100,0,0,0,0
10000,1,1,false,false,0,3,0.072500,0.074000,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.157800,0.188200,0.000100,0.000200,0,0,0,0
10000,1,1,false,false,1,1,0.071800,0.099200,0.000100,0.000200,0.000300,0.000500,0.000100,0.000200,0.052600,0.086900,0.000100,0.000100,0,0,9,9
10000,1,1,false,false,1,3,0.071900,0.072500,0.000100,0.000100,0.000300,0.000300,0.000100,0.000100,0.157600,0.187900,0.000100,0.000100,0,0,9,9
10000,1,1,false,false,100,1,0.074500,0.087500,0.000100,0.000100,0.008700,0.009800,0.001700,0.001800,0.052200,0.083600,0.000100,0.000100,0,0,900,900
10000,1,1,false,false,100,3,0.073700,0.090700,0.000100,0.000100,0.008500,0.009100,0.001600,0.001800,0.157400,0.172500,0.000100,0.000200,0,0,900,900
10000,1,1,false,false,10000,1,0.219400,0.297100,0.000200,0.000200,0.910600,1.305800,0.191900,0.362700,0.062700,0.121700,0.000200,0.000400,0,0,90000,90000
10000,1,1,false,false,10000,3,0.301800,0.412700,0.000400,0.000800,1.054600,1.259100,0.240900,0.309500,0.194600,0.233200,0.000300,0.000500,0,0,90000,90000
10000,1,1,false,true,0,1,0.135900,0.174900,0.000300,0.000500,0.000300,0.000400,0.000500,0.001700,0.082200,0.107500,0.000300,0.000500,0,0,0,0
10000,1,1,false,true,0,3,0.110300,0.196100,0.000400,0.000700,0.000300,0.000500,0.000400,0.001600,0.167300,0.187900,0.000400,0.000500,0,0,0,0
10000,1,1,false,true,1,1,0.100200,0.228900,0.000400,0.000700,0.001000,0.001800,0.000500,0.001500,0.062800,0.203700,0.000400,0.000500,0,0,9,9
10000,1,1,false,true,1,3,0.163800,0.247500,0.000200,0.000600,0.000800,0.001700,0.000300,0.000700,0.151400,0.189700,0.000200,0.002000,0,0,9,9
