objects,flights,depth,unique_assets,threaded,setup_ms,allocations,allocated_bytes,actor_and_component_size_bytes
10000,1,1,false,false,5.819400,26827,23457632,392
10000,1,1,false,true,3.974700,36303,25969728,392
10000,1,1,true,false,7.359400,133727,32305328,392
10000,1,1,true,true,6.086800,141574,34385000,392
10000,1,8,false,false,3.402700,74358,27028032,392
10000,1,8,false,true,4.013700,49967,26214808,392
10000,1,8,true,false,5.333700,156930,32785864,392
10000,1,8,true,true,5.471300,174665,39438792,392
10000,2,1,false,false,2.408300,31676,26825472,392
10000,2,1,false,true,2.550000,42380,26062384,392
10000,2,1,true,false,4.837000,146175,32557408,392
10000,2,1,true,true,4.975100,148150,34586440,392
10000,2,8,false,false,2.982200,82513,27139168,392
10000,2,8,false,true,3.310400,49967,26261976,392
10000,2,8,true,false,5.500900,196394,38301064,392
10000,2,8,true,true,5.197200,127005,34431184,392
10000,3,1,false,false,2.519300,42322,26956536,392
10000,3,1,false,true,2.303400,42043,26046640,392
10000,3,1,true,false,5.049200,147844,32605840,392
10000,3,1,true,true,4.808200,147813,34570696,392
10000,3,8,false,false,2.906200,82176,27123424,392
10000,3,8,false,true,2.834300,35549,24430112,392
10000,3,8,true,false,5.572400,129253,32342840,392
10000,3,8,true,true,5.349400,146918,34625168,392
100000,1,1,false,false,44.435500,625177,284845368,392
100000,1,1,false,true,35.632400,588357,280915984,392
100000,1,1,true,false,57.143500,1568008,356869992,392
100000,1,1,true,true,103.695800,1559629,357573008,392
100000,1,8,false,false,32.167300,656305,279250432,392
100000,1,8,false,true,30.666700,692292,282438144,392
100000,1,8,true,false,62.745900,1655524,358131472,392
100000,1,8,true,true,107.185800,1654455,359069896,392
100000,2,1,false,false,27.397800,584978,282326512,392
100000,2,1,false,true,25.794500,592448,280989600,392
100000,2,1,true,false,58.810400,1568017,356879064,392
100000,2,1,true,true,57.720000,1559637,357581920,392
100000,2,8,false,false,31.385300,656333,281873824,392
100000,2,8,false,true,74.245300,692995,282584368,392
100000,2,8,true,false,96.399700,1656017,358148288,392
100000,2,8,true,true,61.939000,1654463,359078808,392
100000,3,1,false,false,46.626300,584984,282335248,392
100000,3,1,false,true,28.475300,592117,280933776,392
100000,3,1,true,false,57.581300,1567692,356884408,392
100000,3,1,true,true,57.594200,1593745,358226032,392
100000,3,8,false,false,31.647600,657147,282044000,392
100000,3,8,false,true,31.691700,656660,281638176,392
100000,3,8,true,false,106.595700,1667792,358411352,392
100000,3,8,true,true,65.332000,1654131,359022488,392
