scenario,mode,flights,baseline_runs,baseline_us,baseline_min_us,baseline_max_us,direct_runs,direct_us,direct_min_us,direct_max_us,direct_change_percent,snapshot_control_sweep_us,direct_full_sweep_us,baseline_input_wait_us_mean,baseline_e2e_us_median,baseline_e2e_us_p95,baseline_e2e_us_p99,baseline_payload_bytes_mean,baseline_local_transforms_mean,baseline_direct_transforms_mean,direct_input_wait_us_mean,direct_e2e_us_median,direct_e2e_us_p95,direct_e2e_us_p99,direct_payload_bytes_mean,direct_local_transforms_mean,direct_direct_transforms_mean
shape_1000_dirty_0,single,1,3,0.3763671875,0.3736328125,0.6421875,3,0.4154296875,0.3923828125,0.5119140625,10.37882719252725,0.414453125,0.40390625,0.0,0.3,0.3,0.4,0.0,0.0,0.0,0.0162109375,0.3,0.3,0.4,0.0,0.0,0.0
shape_1000_dirty_0,threaded,1,3,1.0146484375,0.97578125,1.2060546875,3,0.9693359375,0.9611328125,1.22265625,-4.465832531280078,0.987890625,0.9318359375,0.0,0.7,0.7,0.7,0.0,0.0,0.0,0.016796875,0.7,0.8,0.8,0.0,0.0,0.0
shape_1000_dirty_0,single,2,3,0.376171875,0.3740234375,0.3828125,3,0.40546875,0.38828125,0.42265625,7.78816199376946,0.3986328125,0.595703125,0.0,0.3,0.3,0.4,0.0,0.0,0.0,0.014453125,0.3,0.3,0.4,0.0,0.0,0.0
shape_1000_dirty_0,threaded,2,3,0.622265625,0.605078125,0.74921875,3,0.674609375,0.6423828125,0.698046875,8.411801632140591,0.6779296875,0.6955078125,0.0,0.7,0.8,0.8,0.0,0.0,0.0,0.016015625000000002,0.7,0.8,0.8,0.0,0.0,0.0
shape_1000_dirty_0,single,3,3,0.383203125,0.3724609375,0.4013671875,3,0.422265625,0.3841796875,0.4744140625,10.19367991845057,0.401953125,0.3904296875,0.0,0.3,0.3,0.4,0.0,0.0,0.0,0.01640625,0.3,0.3,0.4,0.0,0.0,0.0
shape_1000_dirty_0,threaded,3,3,0.58125,0.5736328125,0.833203125,3,0.6623046875,0.660546875,0.6693359375,13.944892473118276,0.665625,0.6595703125,0.0,0.7,0.8,0.8,0.0,0.0,0.0,0.0150390625,0.7,0.9,0.9,0.0,0.0,0.0
shape_1000_dirty_1,single,1,3,0.500390625,0.4951171875,0.5103515625,3,0.57578125,0.5376953125,0.6708984375,15.066354410616722,0.565625,16.4255859375,0.0,0.4,0.5,0.5,48.0,1.0,0.0,0.030468750000000003,0.4,0.5,0.5,0.0,0.0,1.0
shape_1000_dirty_1,threaded,1,3,1.1017578125,1.08125,1.2119140625,3,1.2009765625,1.1724609375,1.2841796875,9.005495479524894,1.1017578125,21.714453125,0.0,0.8,0.9,0.9,48.0,1.0,0.0,0.5125,0.9,1.0,1.0,0.0,0.0,1.0
shape_1000_dirty_1,single,2,3,0.7341796875,0.4833984375,0.803515625,3,0.705078125,0.5345703125,0.713671875,-3.9638201649374816,0.54765625,16.8595703125,0.0,0.5,0.8,1.4,48.0,1.0,0.0,0.0345703125,0.5,0.7,1.0,0.0,0.0,1.0
shape_1000_dirty_1,threaded,2,3,0.722265625,0.701171875,0.9998046875,3,1.1265625,1.1263671875,1.223046875,55.97620335316385,0.916015625,18.43515625,0.0,0.9,1.0,1.4,48.0,1.0,0.0,0.50546875,0.9,0.9,1.0,0.0,0.0,1.0
shape_1000_dirty_1,single,3,3,0.4978515625,0.4876953125,0.519921875,3,0.5603515625,0.5302734375,0.6046875,12.553942722636325,0.533984375,17.2755859375,0.0,0.4,0.5,0.5,48.0,1.0,0.0,0.029687500000000002,0.4,0.5,0.5,0.0,0.0,1.0
shape_1000_dirty_1,threaded,3,3,0.6513671875,0.6490234375,0.68046875,3,1.222265625,1.125390625,1.251953125,87.64617691154422,0.8181640625,17.1431640625,0.0,0.8,1.0,1.0,48.0,1.0,0.0,0.5494140625,0.9,1.1,1.5,0.0,0.0,1.0
shape_1000_dirty_10,single,1,3,1.2912109375,1.11953125,1.376171875,3,1.209765625,1.1083984375,1.239453125,-6.307669036454399,1.2546875,17.23046875,0.0,1.1,1.2,3.2,480.0,10.0,0.0,0.047265625000000006,1.0,1.1,1.1,0.0,0.0,10.0
shape_1000_dirty_10,threaded,1,3,1.6751953125,1.59296875,1.8173828125,3,1.889453125,1.8052734375,2.0294921875,12.790019820450027,1.696875,21.2544921875,0.0,1.3,1.5,1.9,480.0,10.0,0.0,0.7662109375,1.5,1.7,2.7,0.0,0.0,10.0
