scenario,mode,flights,snapshot-incremental_us,snapshot-incremental_min_us,snapshot-incremental_max_us,snapshot-full_us,snapshot-full_min_us,snapshot-full_max_us,direct-incremental_us,direct-incremental_min_us,direct-incremental_max_us,direct-full_us,direct-full_min_us,direct-full_max_us
shape_10000_dirty_10000,single,2,998.680859375,979.784765625,1038.0658203125,1014.42421875,949.7416015625,1134.4853515625,979.8740234375,881.100390625,1028.773828125,855.923046875,828.0548828125,911.6603515625
shape_10000_dirty_10000,threaded,2,682.913671875,670.56171875,744.3025390625,700.7953125,653.0625,721.661328125,896.4935546875,874.7466796875,911.229296875,888.0162109375,876.5025390625,1198.273046875
shape_10000_sequential_all,single,2,768.8103515625,757.2619140625,842.6443359375,779.7287109375,730.0662109375,798.8244140625,643.5552734375,636.8576171875,646.767578125,623.4974609375,614.6736328125,657.0986328125
shape_10000_sequential_all,threaded,2,449.4484375,434.641015625,519.6767578125,448.5025390625,428.6884765625,464.2392578125,510.9708984375,503.254296875,516.6970703125,535.422265625,512.040234375,565.21640625
chain_16_root,single,2,60.79453125,57.74453125,63.1599609375,218.546875,218.309765625,256.1884765625,58.8302734375,57.3490234375,65.9494140625,215.7009765625,214.6841796875,267.204296875
chain_16_root,threaded,2,42.647265625,38.9966796875,44.0396484375,210.74296875,199.4087890625,216.300390625,43.3833984375,38.675390625,47.3884765625,213.638671875,199.8048828125,213.8884765625
chain_16_mixed,single,2,352.4419921875,340.872265625,386.1982421875,416.953125,389.9126953125,442.7267578125,330.937890625,315.78828125,341.13125,401.63046875,352.1908203125,408.0787109375
chain_16_mixed,threaded,2,196.3724609375,183.4095703125,196.3896484375,221.1525390625,215.19921875,234.620703125,201.0162109375,194.065625,226.765234375,242.4203125,234.5630859375,250.28671875
level_walkthrough,single,2,37.0216796875,36.9125,47.4328125,1913.88046875,1903.6080078125,1929.2927734375,28.97421875,28.8955078125,32.871484375,2035.8904296875,1939.93203125,2062.92109375
level_walkthrough,threaded,2,24.3306640625,20.1462890625,25.1416015625,1860.41015625,1836.5310546875,1959.839453125,24.9220703125,24.2275390625,26.4185546875,1865.3650390625,1841.8728515625,2001.82109375
editor_idle,single,2,0.9275390625,0.9224609375,1.255859375,332.2103515625,329.058203125,365.5521484375,0.9474609375,0.8814453125,0.9669921875,356.455078125,326.0583984375,357.249609375
editor_idle,threaded,2,1.098046875,1.0240234375,1.1505859375,344.317578125,337.457421875,372.6474609375,1.8439453125,1.5458984375,2.7439453125,346.6896484375,339.481640625,373.0892578125
