scenario,mode,flights,baseline_us,baseline_min_us,baseline_max_us,snapshot_us,snapshot_min_us,snapshot_max_us,direct_us,direct_min_us,direct_max_us,direct_vs_baseline_percent,direct_vs_snapshot_percent
shape_10000_dirty_10000,single,2,1105.7349609375,990.6333984375,1228.5755859375,1011.6806640625,959.4296875,1128.9794921875,875.281640625,864.013671875,907.1474609375,-20.841641844905556,-13.482418739701584
shape_10000_dirty_10000,threaded,2,701.5037109375,643.1595703125,728.089453125,661.7978515625,610.1716796875,686.16328125,967.6861328125,955.976171875,1041.4708984375,37.944549362293436,46.22080300318292
shape_100000_dirty_100000,single,2,25723.8716796875,25126.8806640625,26610.316796875,24558.0431640625,23216.2513671875,24573.006640625,23383.0828125,22737.690625,24087.4486328125,-9.099675571138356,-4.784421721686282
shape_100000_dirty_100000,threaded,2,22241.8650390625,21851.7197265625,22473.951171875,20722.9439453125,20218.5,21710.3263671875,21934.4255859375,20972.4314453125,22311.2822265625,-1.3822557262399338,5.846088489271017
shape_100000_sequential_all,single,2,12862.36796875,12699.2712890625,12901.299609375,13326.1158203125,13045.835546875,13399.7806640625,12520.8376953125,12363.5541015625,13366.6728515625,-2.655267476931711,-6.042857017440473
shape_100000_sequential_all,threaded,2,10062.2349609375,9896.36328125,10761.1056640625,10483.9568359375,10386.2107421875,10486.1587890625,11003.475,10839.76015625,11023.925390625,9.354184658939868,4.955363439514238
chain_16_root,single,2,56.2029296875,55.4798828125,69.3208984375,58.3462890625,56.8708984375,61.8666015625,58.9505859375,58.7923828125,66.7404296875,4.888813208274967,1.0357074712201264
chain_16_root,threaded,2,38.5875,36.7349609375,45.9798828125,40.0166015625,38.8529296875,44.03671875,43.9171875,38.734765625,43.92265625,13.81195335276968,9.747419283988567
light_256_all,single,2,62.8990234375,61.643359375,69.8263671875,41.825,39.753125,54.313671875,38.4478515625,38.1376953125,42.397265625,-38.87369078042373,-8.074473251643767
light_256_all,threaded,2,51.4630859375,50.9875,53.884375,31.7390625,27.7412109375,37.4369140625,30.8638671875,28.0810546875,31.705078125,-40.0271736036525,-2.757470585339439
reparent_all,single,2,2475.7337890625,2308.312109375,2902.8177734375,2421.6193359375,2342.276953125,2524.883203125,2584.36484375,2492.8498046875,2595.012890625,4.387832616229548,6.720523964989522
reparent_all,threaded,2,1808.6837890625,1805.2103515625,1835.408203125,2093.6806640625,2021.771875,2408.94765625,2615.18984375,2369.2125,2655.045703125,44.59077145295467,24.908725988593837
chain_16_mixed,single,2,330.4474609375,324.207421875,335.419921875,350.9404296875,344.0482421875,399.205859375,362.5419921875,347.1111328125,369.9462890625,9.712446014548215,3.3058495170621427
chain_16_mixed,threaded,2,181.0546875,175.0666015625,187.433984375,191.4455078125,185.754296875,202.2330078125,221.428125,217.109765625,225.032421875,22.299029126213597,15.661175616021605
level_walkthrough,single,2,34.0603515625,33.0162109375,45.124609375,35.4119140625,34.01875,36.9083984375,33.4025390625,33.1767578125,37.8703125,-1.9313144751102573,-5.674290851529729
level_walkthrough,threaded,2,19.6115234375,18.3419921875,21.31640625,22.9841796875,22.2056640625,29.7359375,27.358203125,23.9486328125,28.8494140625,39.50065231896902,19.03058319666211
level_firefight,single,2,246.9654296875,245.9482421875,299.9767578125,249.834765625,248.8748046875,254.3974609375,247.425,234.6935546875,259.38203125,0.18608690013073304,-0.9645437531368262
level_firefight,threaded,2,163.226171875,162.477734375,185.4865234375,172.63125,164.997265625,182.9380859375,204.1400390625,186.804296875,218.3310546875,25.06575184452171,18.252077223851426
open_world_streaming,single,2,80.5359375,79.37578125,94.966796875,98.7404296875,90.630859375,132.697265625,82.9107421875,79.079296875,99.99921875,2.948751527850546,-16.03161698819703
open_world_streaming,threaded,2,82.1078125,77.1697265625,121.3845703125,98.6880859375,82.4662109375,107.68515625,89.9724609375,85.912890625,97.6126953125,9.578441074045196,-8.831486513498376
crowd_animation,single,2,93.26171875,90.794921875,102.1564453125,101.79296875,96.858984375,108.11953125,100.251953125,92.02734375,101.0865234375,7.495287958115182,-1.5138723665528264
crowd_animation,threaded,2,52.6068359375,51.163671875,56.9375,54.939453125,53.866796875,58.08515625,73.7478515625,72.7693359375,75.3740234375,40.18682220332879,34.23477549859577
cinematic_lights,single,2,87.381640625,85.1328125,104.79765625,65.178515625,64.884765625,70.7939453125,68.5564453125,64.911328125,71.0912109375,-21.543650563038398,5.1825814919362
cinematic_lights,threaded,2,63.221484375,60.1841796875,64.01640625,38.155078125,37.971484375,41.1640625,46.8400390625,43.61328125,49.1486328125,-25.911200084029986,22.76226747340724
editor_idle,single,2,0.8580078125,0.85234375,0.9263671875,1.003125,0.940234375,1.2119140625,0.96171875,0.9193359375,1.4228515625,12.087411791486446,-4.127725856697828
editor_idle,threaded,2,0.9357421875,0.875,1.2966796875,1.0056640625,0.9419921875,1.0150390625,1.541015625,1.5166015625,1.6109375,64.6837820914214,53.2336375995339
